airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-24,Bangalore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Jet Airways,2019-05-09,Kolkata,Bangalore,17:00:00,18:00:00,1500,1.0,No Info,10624
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,10197
Multiple Carriers,2019-06-01,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,10261
Jet Airways,2019-06-09,Kolkata,Bangalore,21:10:00,04:40:00,450,1.0,No Info,13731
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Vistara,2019-05-18,Kolkata,Bangalore,07:10:00,23:25:00,975,1.0,No Info,9345
Air India,2019-03-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,10082
Air Asia,2019-06-12,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6152
Vistara,2019-05-18,Bangalore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Air India,2019-06-12,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,4145
Multiple Carriers,2019-06-27,Delhi,Cochin,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,16108
Jet Airways,2019-05-27,Bangalore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Spicejet,2019-03-24,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No Info,2753
Air India,2019-06-06,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,8603
Indigo,2019-05-06,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Jet Airways,2019-05-09,Kolkata,Bangalore,06:30:00,19:50:00,800,1.0,No Info,14781
Indigo,2019-06-27,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Air India,2019-05-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,9417
Spicejet,2019-05-18,Bangalore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Air Asia,2019-04-03,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4107
Jet Airways,2019-05-01,Kolkata,Bangalore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,12557
Air India,2019-05-18,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8879
Air India,2019-05-12,Kolkata,Bangalore,12:00:00,07:55:00,1195,2.0,No Info,10676
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,11264
Indigo,2019-06-12,Bangalore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Spicejet,2019-04-12,Kolkata,Bangalore,06:55:00,09:30:00,155,0.0,No Info,3873
Indigo,2019-04-21,Kolkata,Bangalore,22:15:00,00:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10877
Air India,2019-05-24,Kolkata,Bangalore,09:25:00,11:10:00,1545,1.0,No Info,8891
Air India,2019-05-18,Kolkata,Bangalore,09:25:00,17:20:00,1915,2.0,No Info,13616
Air India,2019-06-24,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,9404
Jet Airways,2019-03-24,Kolkata,Bangalore,19:45:00,16:20:00,1235,1.0,In-flight meal not included,10031
Indigo,2019-05-24,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Spicejet,2019-06-21,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Indigo,2019-04-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6270
Air Asia,2019-04-21,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4409
Spicejet,2019-03-24,Kolkata,Bangalore,09:00:00,11:30:00,150,0.0,No check-in baggage included,5201
Multiple Carriers,2019-03-09,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No Info,34608
Indigo,2019-03-03,Bangalore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,7648
Air India,2019-06-12,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10231
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,12192
Air Asia,2019-06-06,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,8759
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,19:45:00,2315,2.0,In-flight meal not included,8098
Indigo,2019-06-12,Bangalore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,5704
Spicejet,2019-06-27,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No Info,3873
Air India,2019-05-03,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-05-01,Kolkata,Bangalore,09:25:00,07:55:00,1350,1.0,No Info,8366
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,No Info,14714
Jet Airways,2019-03-21,Delhi,Cochin,16:10:00,18:50:00,1600,2.0,No Info,13180
Jet Airways,2019-04-01,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,5406
Spicejet,2019-06-06,Kolkata,Bangalore,15:55:00,21:25:00,330,1.0,No Info,8224
Air India,2019-05-21,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7997
Air India,2019-03-15,Bangalore,New Delhi,05:50:00,22:10:00,980,2.0,No Info,10111
Indigo,2019-05-18,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,7503
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13587
Indigo,2019-06-09,Bangalore,Delhi,16:55:00,19:45:00,170,0.0,No Info,4823
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6016
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,In-flight meal not included,7308
Air Asia,2019-05-09,Kolkata,Bangalore,22:40:00,10:40:00,720,1.0,No Info,5192
Indigo,2019-04-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,3342
Air India,2019-04-21,Bangalore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,12524
Air India,2019-05-01,Kolkata,Bangalore,10:00:00,20:25:00,625,1.0,No Info,10203
Air India,2019-05-06,Kolkata,Bangalore,16:45:00,08:55:00,970,2.0,No Info,13227
Multiple Carriers,2019-06-27,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Jet Airways,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Air India,2019-03-24,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,31945
Indigo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6171
Air Asia,2019-06-03,Bangalore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Spicejet,2019-03-03,Bangalore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,6860
Jet Airways,2019-06-01,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,14714
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,5935
Jet Airways,2019-05-06,Kolkata,Bangalore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Air India,2019-06-15,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
